term_str,n,n_chars,p,i,max_pos,max_pos_group,stem_porter,stop,dfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
agreed,2,6,9.65362783333977e-06,16.660497360248794,VBD,VB,agre,0,3.169925001442312,0,0,0,0,0,0,1,0,0,1,1
alarm,2,5,9.65362783333977e-06,16.660497360248794,NN,NN,alarm,0,2.584962500721156,0,0,0,1,0,1,0,0,1,0,-1
alien,16,5,7.722902266671815e-05,13.660497360248796,NN,NN,alien,0,2.584962500721156,0,0,1,1,0,1,0,0,0,0,-1
alive,92,5,0.0004440668803336,11.136935404191782,JJ,JJ,aliv,0,0.0,0,1,0,0,1,0,1,0,0,1,1
ambush,1,6,4.826813916669885e-06,17.660497360248794,VB,VB,ambush,0,2.584962500721156,1,0,0,1,0,1,0,0,1,0,-1
amen,1,4,4.826813916669885e-06,17.660497360248794,NNS,NN,amen,0,2.584962500721156,0,0,0,0,1,0,1,0,0,1,1
amuse,1,5,4.826813916669885e-06,17.660497360248794,RB,RB,amus,0,2.584962500721156,0,0,0,0,1,0,1,0,0,0,1
amused,3,6,1.4480441750009651e-05,16.07553485952764,JJ,JJ,amus,0,3.169925001442312,0,0,0,0,1,0,1,0,0,0,1
amusement,1,9,4.826813916669885e-06,17.660497360248794,NN,NN,amus,0,2.584962500721156,0,0,0,0,1,0,1,0,0,0,1
amusing,1,7,4.826813916669885e-06,17.660497360248794,VBG,VB,amus,0,2.584962500721156,0,0,0,0,1,0,1,0,0,0,1
angel,17,5,8.205583658338804e-05,13.573034518998456,NN,NN,angel,0,0.0,0,1,0,0,1,0,1,0,1,1,1
anger,5,5,2.4134069583349424e-05,15.338569265361432,NN,NN,anger,0,3.0,1,0,0,0,0,1,0,0,0,0,-1
angry,5,5,2.4134069583349424e-05,15.338569265361432,JJ,JJ,angri,0,3.0,1,0,1,0,0,1,0,0,0,0,-1
animosity,1,9,4.826813916669885e-06,17.660497360248794,NN,NN,animos,0,2.584962500721156,1,0,1,1,0,1,0,1,0,0,-1
annoying,5,8,2.4134069583349424e-05,15.338569265361432,VBG,VB,annoy,0,2.584962500721156,1,0,0,0,0,1,0,0,0,0,-1
anxiety,1,7,4.826813916669885e-06,17.660497360248794,NN,NN,anxieti,0,2.584962500721156,1,1,0,1,0,1,0,1,0,0,-1
apologize,20,9,9.65362783333977e-05,13.338569265361432,VB,VB,apolog,0,3.169925001442312,0,0,0,0,0,0,1,1,0,1,1
applause,3,8,1.4480441750009651e-05,16.07553485952764,NN,NN,applaus,0,3.169925001442312,0,0,0,0,1,0,1,0,1,1,1
argue,3,5,1.4480441750009651e-05,16.07553485952764,NN,NN,argu,0,3.169925001442312,1,0,0,0,0,1,0,0,0,0,-1
argument,1,8,4.826813916669885e-06,17.660497360248794,NN,NN,argument,0,2.584962500721156,1,0,0,0,0,1,0,0,0,0,-1
armed,1,5,4.826813916669885e-06,17.660497360248794,VBD,VB,arm,0,2.584962500721156,1,0,0,1,0,1,1,0,0,0,0
art,4,3,1.930725566667954e-05,15.660497360248796,VB,VB,art,0,2.584962500721156,0,1,0,0,1,0,1,1,1,0,1
ashamed,7,7,3.378769741668919e-05,14.85314243819119,JJ,JJ,asham,0,3.0,0,0,1,0,0,1,0,1,0,0,-1
ashes,1,5,4.826813916669885e-06,17.660497360248794,NNS,NN,ash,0,2.584962500721156,0,0,0,0,0,1,0,1,0,0,-1
assassin,2,8,9.65362783333977e-06,16.660497360248794,NN,NN,assassin,0,2.584962500721156,1,0,0,1,0,1,0,1,0,0,-1
assured,1,7,4.826813916669885e-06,17.660497360248794,VBD,VB,assur,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
atone,1,5,4.826813916669885e-06,17.660497360248794,RB,RB,aton,0,2.584962500721156,0,1,0,0,1,0,1,0,0,1,1
attack,6,6,2.8960883500019303e-05,15.07553485952764,NN,NN,attack,0,3.0,1,0,0,1,0,1,0,0,0,0,-1
attendant,1,9,4.826813916669885e-06,17.660497360248794,NN,NN,attend,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
avoid,1,5,4.826813916669885e-06,17.660497360248794,VBP,VB,avoid,0,2.584962500721156,0,0,0,1,0,1,0,0,0,0,-1
awful,1,5,4.826813916669885e-06,17.660497360248794,JJ,JJ,aw,0,2.584962500721156,1,0,1,1,0,1,0,1,0,0,-1
baby,738,4,0.0035621886705023,8.1330203541884,NN,NN,babi,0,0.0,0,0,0,0,1,0,1,0,0,0,1
backwards,1,9,4.826813916669885e-06,17.660497360248794,NNS,NN,backward,0,2.584962500721156,0,0,1,0,0,1,0,0,0,0,-1
bacteria,1,8,4.826813916669885e-06,17.660497360248794,NNS,NN,bacteria,0,2.584962500721156,0,0,1,1,0,1,0,1,0,0,-1
bad,173,3,0.0008350388075838,10.22586913261207,JJ,JJ,bad,0,0.0,1,0,1,1,0,1,0,1,0,0,-1
badly,5,5,2.4134069583349424e-05,15.338569265361432,RB,RB,badli,0,3.0,0,0,0,0,0,1,0,1,0,0,-1
bang,3,4,1.4480441750009651e-05,16.07553485952764,VBP,VB,bang,0,2.584962500721156,1,0,1,1,0,1,0,1,1,0,-1
bark,4,4,1.930725566667954e-05,15.660497360248796,NNS,NN,bark,0,3.0,1,0,0,0,0,1,0,0,0,0,-1
barricade,1,9,4.826813916669885e-06,17.660497360248794,NN,NN,barricad,0,2.584962500721156,0,0,0,1,0,1,0,0,0,0,-1
basketball,1,10,4.826813916669885e-06,17.660497360248794,NN,NN,basketbal,0,2.584962500721156,0,1,0,0,1,0,1,0,0,0,1
batter,5,6,2.4134069583349424e-05,15.338569265361432,NN,NN,batter,0,2.584962500721156,1,0,0,1,0,1,0,0,0,0,-1
battery,2,7,9.65362783333977e-06,16.660497360248794,NN,NN,batteri,0,3.169925001442312,1,0,0,0,0,1,0,0,0,0,-1
battle,4,6,1.930725566667954e-05,15.660497360248796,NN,NN,battl,0,3.169925001442312,1,0,0,0,0,1,0,0,0,0,-1
bear,2,4,9.65362783333977e-06,16.660497360248794,VB,VB,bear,0,3.169925001442312,1,0,0,1,0,0,0,0,0,0,0
beast,3,5,1.4480441750009651e-05,16.07553485952764,NN,NN,beast,0,3.0,1,0,0,1,0,1,0,0,0,0,-1
beating,11,7,5.309495308336873e-05,14.201065741611496,NN,NN,beat,0,1.315172029168969,1,0,0,1,0,1,0,1,0,0,-1
beautiful,47,9,0.0002268602540834,12.105908508571158,JJ,JJ,beauti,0,1.315172029168969,0,0,0,0,1,0,1,0,0,0,1
beauty,7,6,3.378769741668919e-05,14.85314243819119,NN,NN,beauti,0,1.315172029168969,0,0,0,0,1,0,1,0,0,0,1
bee,3,3,1.4480441750009651e-05,16.07553485952764,NN,NN,bee,0,2.584962500721156,1,0,0,1,0,0,0,0,0,0,0
beer,3,4,1.4480441750009651e-05,16.07553485952764,NN,NN,beer,0,3.0,0,0,0,0,1,0,1,0,0,0,1
beg,9,3,4.344132525002896e-05,14.490572358806483,VBP,VB,beg,0,1.315172029168969,0,0,0,0,0,1,0,1,0,0,-1
believing,4,9,1.930725566667954e-05,15.660497360248796,VBG,VB,believ,0,3.169925001442312,0,0,0,0,0,0,1,0,0,1,1
belt,2,4,9.65362783333977e-06,16.660497360248794,NN,NN,belt,0,3.169925001442312,1,0,0,1,0,1,0,0,0,0,-1
betrayal,1,8,4.826813916669885e-06,17.660497360248794,VB,VB,betray,0,2.584962500721156,1,0,1,0,0,1,0,1,0,0,-1
beware,5,6,2.4134069583349424e-05,15.338569265361432,NN,NN,bewar,0,3.169925001442312,0,1,0,1,0,1,0,0,0,0,-1
birth,5,5,2.4134069583349424e-05,15.338569265361432,NN,NN,birth,0,3.0,0,1,0,1,1,0,1,0,0,1,1
birthday,4,8,1.930725566667954e-05,15.660497360248796,NN,NN,birthday,0,3.0,0,1,0,0,1,0,1,0,1,0,1
bitch,117,5,0.0005647372282503,10.79013264066539,NN,NN,bitch,0,1.315172029168969,1,0,1,1,0,1,0,1,0,0,-1
bizarre,11,7,5.309495308336873e-05,14.201065741611496,JJ,JJ,bizarr,0,3.0,0,0,0,0,0,1,0,0,1,0,-1
black,80,5,0.0003861451133335,11.338569265361432,NNP,NN,black,0,0.0,0,0,0,0,0,1,0,1,0,0,-1
blame,39,5,0.0001882457427501,12.375095141386549,VB,VB,blame,0,0.0,1,0,1,0,0,1,0,0,0,0,-1
blaze,1,5,4.826813916669885e-06,17.660497360248794,NNP,NN,blaze,0,2.584962500721156,1,0,0,0,0,1,0,0,0,0,-1
bleeding,3,8,1.4480441750009651e-05,16.07553485952764,VBG,VB,bleed,0,3.0,0,0,1,1,0,1,0,1,0,0,-1
bless,10,5,4.826813916669885e-05,14.338569265361432,VBP,VB,bless,0,3.169925001442312,0,1,0,0,1,0,1,0,0,1,1
blessed,4,7,1.930725566667954e-05,15.660497360248796,VBN,VB,bless,0,3.169925001442312,0,0,0,0,1,0,1,0,0,0,1
blessing,4,8,1.930725566667954e-05,15.660497360248796,NN,NN,bless,0,3.169925001442312,0,1,0,0,1,0,1,0,0,1,1
blessings,9,9,4.344132525002896e-05,14.490572358806483,NNS,NN,bless,0,2.584962500721156,0,1,0,0,1,0,1,0,1,1,1
blindfold,1,9,4.826813916669885e-06,17.660497360248794,NNP,NN,blindfold,0,2.584962500721156,0,1,0,1,0,0,0,0,1,0,0
blindness,1,9,4.826813916669885e-06,17.660497360248794,NN,NN,blind,0,2.584962500721156,0,0,0,0,0,1,0,1,0,0,-1
bliss,6,5,2.8960883500019303e-05,15.07553485952764,NN,NN,bliss,0,2.584962500721156,0,0,0,0,1,0,1,0,0,0,1
blister,2,7,9.65362783333977e-06,16.660497360248794,NN,NN,blister,0,2.584962500721156,0,0,1,0,0,1,0,0,0,0,-1
bloody,2,6,9.65362783333977e-06,16.660497360248794,NN,NN,bloodi,0,3.169925001442312,1,0,1,1,0,1,0,1,0,0,-1
bloom,3,5,1.4480441750009651e-05,16.07553485952764,NN,NN,bloom,0,3.169925001442312,0,1,0,0,1,0,1,0,0,1,1
blossom,2,7,9.65362783333977e-06,16.660497360248794,VBP,VB,blossom,0,2.584962500721156,0,0,0,0,1,0,1,0,0,0,1
blues,12,5,5.792176700003861e-05,14.07553485952764,NNS,NN,blue,0,1.315172029168969,0,0,0,1,0,1,0,1,0,0,-1
bodyguard,5,9,2.4134069583349424e-05,15.338569265361432,NN,NN,bodyguard,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
bomb,2,4,9.65362783333977e-06,16.660497360248794,NN,NN,bomb,0,2.584962500721156,1,0,0,1,0,1,0,1,1,0,-1
bottom,4,6,1.930725566667954e-05,15.660497360248796,JJ,JJ,bottom,0,3.0,0,0,0,0,0,1,0,1,0,0,-1
bounty,1,6,4.826813916669885e-06,17.660497360248794,NN,NN,bounti,0,2.584962500721156,0,1,0,0,1,0,1,0,0,1,1
bouquet,1,7,4.826813916669885e-06,17.660497360248794,NN,NN,bouquet,0,2.584962500721156,0,0,0,0,1,0,1,0,0,1,1
bout,92,4,0.0004440668803336,11.136935404191782,IN,IN,bout,0,0.0,1,0,0,0,0,1,0,0,0,0,-1
boy,161,3,0.0007771170405838,10.329580482134178,NN,NN,boy,0,0.0,0,0,1,0,0,1,0,0,0,0,-1
brawl,1,5,4.826813916669885e-06,17.660497360248794,VB,VB,brawl,0,2.584962500721156,1,0,1,1,0,1,0,0,0,0,-1
bride,3,5,1.4480441750009651e-05,16.07553485952764,NN,NN,bride,0,3.169925001442312,0,1,0,0,1,0,1,0,0,1,1
bridesmaid,1,10,4.826813916669885e-06,17.660497360248794,NN,NN,bridesmaid,0,2.584962500721156,0,0,0,0,1,0,1,0,0,1,1
brilliant,1,9,4.826813916669885e-06,17.660497360248794,NN,NN,brilliant,0,2.584962500721156,0,1,0,0,1,0,1,0,0,1,1
broke,77,5,0.0003716646715835,11.393710819553894,VBD,VB,broke,0,0.0,0,0,0,1,0,1,0,1,0,0,-1
broken,46,6,0.0002220334401668,12.136935404191782,JJ,JJ,broken,0,0.0,1,0,0,1,0,1,0,1,0,0,-1
brother,18,7,8.688265050005793e-05,13.490572358806483,NN,NN,brother,0,0.0,0,0,0,0,0,0,1,0,0,1,1
brotherhood,1,11,4.826813916669885e-06,17.660497360248794,NN,NN,brotherhood,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
buck,2,4,9.65362783333977e-06,16.660497360248794,NN,NN,buck,0,3.169925001442312,0,0,0,1,0,1,1,0,1,0,0
buddy,2,5,9.65362783333977e-06,16.660497360248794,NN,NN,buddi,0,2.584962500721156,0,1,0,0,1,0,1,0,0,1,1
bug,1,3,4.826813916669885e-06,17.660497360248794,NN,NN,bug,0,2.584962500721156,0,0,1,1,0,1,0,0,0,0,-1
bum,2,3,9.65362783333977e-06,16.660497360248794,NN,NN,bum,0,3.169925001442312,0,0,1,0,0,1,0,1,0,0,-1
bummer,9,6,4.344132525002896e-05,14.490572358806483,NN,NN,bummer,0,2.584962500721156,1,0,1,0,0,1,0,0,0,0,-1
buried,6,6,2.8960883500019303e-05,15.07553485952764,VBD,VB,buri,0,3.0,0,0,0,1,0,1,0,1,0,0,-1
burnt,2,5,9.65362783333977e-06,16.660497360248794,NNP,NN,burnt,0,2.584962500721156,0,0,1,0,0,1,0,0,0,0,-1
buss,3,4,1.4480441750009651e-05,16.07553485952764,NN,NN,buss,0,2.584962500721156,0,0,0,0,1,0,1,0,0,0,1
buzz,4,4,1.930725566667954e-05,15.660497360248796,NN,NN,buzz,0,3.169925001442312,0,1,0,1,0,0,1,0,0,0,1
cage,5,4,2.4134069583349424e-05,15.338569265361432,NN,NN,cage,0,3.169925001442312,0,0,0,0,0,1,0,1,0,0,-1
calculator,2,10,9.65362783333977e-06,16.660497360248794,NN,NN,calcul,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
calls,18,5,8.688265050005793e-05,13.490572358806483,VBZ,VB,call,0,0.0,0,1,0,0,0,1,0,0,0,1,-1
cancel,2,6,9.65362783333977e-06,16.660497360248794,NNP,NN,cancel,0,2.584962500721156,0,0,0,0,0,1,0,1,0,0,-1
cancer,3,6,1.4480441750009651e-05,16.07553485952764,NN,NN,cancer,0,3.169925001442312,1,0,1,1,0,1,0,1,0,0,-1
cane,1,4,4.826813916669885e-06,17.660497360248794,NN,NN,cane,0,2.584962500721156,1,0,0,1,0,0,0,0,0,0,0
cap,9,3,4.344132525002896e-05,14.490572358806483,NN,NN,cap,0,3.169925001442312,0,1,0,0,0,0,0,0,0,1,0
career,1,6,4.826813916669885e-06,17.660497360248794,NN,NN,career,0,2.584962500721156,0,1,0,0,0,0,1,0,0,0,1
case,21,4,0.00010136309225,13.268179937470034,NN,NN,case,0,1.315172029168969,0,0,0,1,0,1,0,1,0,0,-1
cash,15,4,7.240220875004827e-05,13.753606764640276,NN,NN,cash,0,2.3398500028846247,1,1,0,1,1,0,1,0,0,1,1
casualty,4,8,1.930725566667954e-05,15.660497360248796,NN,NN,casualti,0,2.584962500721156,1,0,0,1,0,1,0,1,0,0,-1
celebrity,1,9,4.826813916669885e-06,17.660497360248794,NNP,NN,celebr,0,2.584962500721156,1,1,1,0,1,1,1,0,1,1,0
cemetery,2,8,9.65362783333977e-06,16.660497360248794,NN,NN,cemeteri,0,2.584962500721156,0,0,0,1,0,1,0,1,0,0,-1
center,5,6,2.4134069583349424e-05,15.338569265361432,NN,NN,center,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
champion,6,8,2.8960883500019303e-05,15.07553485952764,NN,NN,champion,0,3.0,0,1,0,0,1,0,1,0,0,1,1
chaos,2,5,9.65362783333977e-06,16.660497360248794,NN,NN,chao,0,3.169925001442312,1,0,0,1,0,1,0,1,0,0,-1
charity,1,7,4.826813916669885e-06,17.660497360248794,NN,NN,chariti,0,2.584962500721156,0,0,0,0,1,0,1,0,0,0,1
cheat,1,5,4.826813916669885e-06,17.660497360248794,VB,VB,cheat,0,2.584962500721156,1,0,1,0,0,1,0,0,0,0,-1
cheer,1,5,4.826813916669885e-06,17.660497360248794,VB,VB,cheer,0,2.584962500721156,0,1,0,0,1,0,1,0,1,1,1
cherish,1,7,4.826813916669885e-06,17.660497360248794,VBD,VB,cherish,0,2.584962500721156,0,1,0,0,1,0,1,0,1,1,1
child,53,5,0.0002558211375835,11.932576905685597,NN,NN,child,0,0.0,0,1,0,0,1,0,1,0,0,0,1
childhood,1,9,4.826813916669885e-06,17.660497360248794,NN,NN,childhood,0,2.584962500721156,0,0,0,0,1,0,1,0,0,0,1
chocolate,4,9,1.930725566667954e-05,15.660497360248796,NN,NN,chocol,0,2.584962500721156,0,1,0,0,1,0,1,0,0,1,1
choir,3,5,1.4480441750009651e-05,16.07553485952764,NN,NN,choir,0,2.584962500721156,0,0,0,0,1,0,1,0,0,1,1
choke,13,5,6.27485809167085e-05,13.960057642107705,VBP,VB,choke,0,3.0,1,0,0,0,0,1,0,1,0,0,-1
church,11,6,5.309495308336873e-05,14.201065741611496,NN,NN,church,0,1.315172029168969,0,1,0,0,1,0,1,0,0,1,1
civilization,1,12,4.826813916669885e-06,17.660497360248794,NN,NN,civil,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
clap,18,4,8.688265050005793e-05,13.490572358806483,VB,VB,clap,0,3.0,0,1,0,0,1,0,1,0,0,1,1
clash,1,5,4.826813916669885e-06,17.660497360248794,NN,NN,clash,0,2.584962500721156,1,0,0,0,0,1,0,0,0,0,-1
clean,12,5,5.792176700003861e-05,14.07553485952764,JJ,JJ,clean,0,1.315172029168969,0,0,0,0,1,0,1,0,0,1,1
clown,1,5,4.826813916669885e-06,17.660497360248794,JJ,JJ,clown,0,2.584962500721156,0,1,0,0,1,0,1,0,1,0,1
cocaine,17,7,8.205583658338804e-05,13.573034518998456,NN,NN,cocain,0,3.0,0,0,0,0,0,1,0,1,0,0,-1
comatose,1,8,4.826813916669885e-06,17.660497360248794,NN,NN,comatos,0,2.584962500721156,0,0,0,1,0,1,0,1,0,0,-1
combat,1,6,4.826813916669885e-06,17.660497360248794,NN,NN,combat,0,2.584962500721156,1,0,0,1,0,1,0,0,0,0,-1
comfort,7,7,3.378769741668919e-05,14.85314243819119,NN,NN,comfort,0,2.3398500028846247,0,1,0,0,1,0,1,0,0,1,1
committed,1,9,4.826813916669885e-06,17.660497360248794,VBD,VB,commit,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
commotion,1,9,4.826813916669885e-06,17.660497360248794,NN,NN,commot,0,2.584962500721156,1,0,0,0,0,1,0,0,0,0,-1
companion,1,9,4.826813916669885e-06,17.660497360248794,NN,NN,companion,0,2.584962500721156,0,0,0,0,1,0,1,0,0,1,1
competition,1,11,4.826813916669885e-06,17.660497360248794,NN,NN,competit,0,2.584962500721156,0,1,0,0,0,1,0,0,0,0,-1
complain,5,8,2.4134069583349424e-05,15.338569265361432,VB,VB,complain,0,3.0,1,0,0,0,0,1,0,1,0,0,-1
complaint,9,9,4.344132525002896e-05,14.490572358806483,NN,NN,complaint,0,2.584962500721156,1,0,0,0,0,1,0,0,0,0,-1
concealed,3,9,1.4480441750009651e-05,16.07553485952764,VBN,VB,conceal,0,2.584962500721156,0,1,0,1,0,1,0,0,1,0,-1
confess,9,7,4.344132525002896e-05,14.490572358806483,VB,VB,confess,0,3.0,0,0,0,0,0,1,1,0,0,1,0
confession,4,10,1.930725566667954e-05,15.660497360248796,NN,NN,confess,0,3.169925001442312,0,1,0,1,0,1,0,1,1,0,-1
confidence,4,10,1.930725566667954e-05,15.660497360248796,NN,NN,confid,0,3.169925001442312,0,0,0,1,1,0,1,0,0,1,1
confined,1,8,4.826813916669885e-06,17.660497360248794,VBD,VB,confin,0,2.584962500721156,1,0,1,1,0,1,0,1,0,0,-1
confusion,3,9,1.4480441750009651e-05,16.07553485952764,NN,NN,confus,0,3.169925001442312,1,0,0,1,0,1,0,0,0,0,-1
conscience,4,10,1.930725566667954e-05,15.660497360248796,NN,NN,conscienc,0,3.0,0,0,0,0,0,0,1,0,0,1,1
conspire,1,8,4.826813916669885e-06,17.660497360248794,NN,NN,conspir,0,2.584962500721156,0,0,0,1,0,1,0,0,0,0,-1
constant,1,8,4.826813916669885e-06,17.660497360248794,JJ,JJ,constant,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
contagious,3,10,1.4480441750009651e-05,16.07553485952764,JJ,JJ,contagi,0,2.584962500721156,0,0,1,1,0,1,0,0,0,0,-1
continue,2,8,9.65362783333977e-06,16.660497360248794,NN,NN,continu,0,2.584962500721156,0,1,0,0,0,0,1,0,0,1,1
convince,4,8,1.930725566667954e-05,15.660497360248796,VB,VB,convinc,0,3.0,0,1,0,0,0,0,1,0,0,1,1
cop,3,3,1.4480441750009651e-05,16.07553485952764,NN,NN,cop,0,3.169925001442312,0,0,0,1,0,0,0,0,0,1,0
corporation,2,11,9.65362783333977e-06,16.660497360248794,NN,NN,corpor,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
corruption,1,10,4.826813916669885e-06,17.660497360248794,NN,NN,corrupt,0,2.584962500721156,0,0,1,0,0,1,0,0,0,0,-1
cough,2,5,9.65362783333977e-06,16.660497360248794,NN,NN,cough,0,3.169925001442312,0,0,1,0,0,1,0,0,0,0,-1
count,23,5,0.0001110167200834,13.136935404191782,NN,NN,count,0,1.315172029168969,0,0,0,0,0,0,1,0,0,1,1
court,1,5,4.826813916669885e-06,17.660497360248794,NN,NN,court,0,2.584962500721156,1,1,0,1,0,0,0,0,0,0,0
cracked,3,7,1.4480441750009651e-05,16.07553485952764,VBD,VB,crack,0,3.0,1,0,0,1,0,1,0,0,0,0,-1
cradle,5,6,2.4134069583349424e-05,15.338569265361432,NN,NN,cradl,0,3.169925001442312,0,1,0,0,1,0,1,0,0,1,1
crap,2,4,9.65362783333977e-06,16.660497360248794,NN,NN,crap,0,2.584962500721156,0,0,1,0,0,1,0,0,0,0,-1
crash,15,5,7.240220875004827e-05,13.753606764640276,NNP,NN,crash,0,3.0,0,0,0,1,0,1,0,1,1,0,-1
crawl,4,5,1.930725566667954e-05,15.660497360248796,VB,VB,crawl,0,3.0,0,0,1,0,0,1,0,0,0,0,-1
crazy,127,5,0.000613005367417,10.67181267347663,JJ,NN,crazi,0,0.0,1,0,0,1,0,1,0,1,0,0,-1
cream,4,5,1.930725566667954e-05,15.660497360248796,NN,NN,cream,0,3.0,0,1,0,0,1,0,1,0,1,0,1
create,1,6,4.826813916669885e-06,17.660497360248794,VBP,VB,creat,0,2.584962500721156,0,0,0,0,1,0,1,0,0,0,1
creature,1,8,4.826813916669885e-06,17.660497360248794,NN,NN,creatur,0,2.584962500721156,0,0,1,1,0,1,0,0,0,0,-1
credit,3,6,1.4480441750009651e-05,16.07553485952764,NN,NN,credit,0,3.0,0,0,0,0,0,0,1,0,0,1,1
crime,3,5,1.4480441750009651e-05,16.07553485952764,NN,NN,crime,0,3.0,1,0,0,0,0,1,0,0,0,0,-1
criminal,1,8,4.826813916669885e-06,17.660497360248794,JJ,JJ,crimin,0,2.584962500721156,1,0,1,1,0,1,0,0,0,0,-1
criticize,1,9,4.826813916669885e-06,17.660497360248794,VB,VB,critic,0,2.584962500721156,1,0,1,1,0,1,0,1,0,0,-1
cross,11,5,5.309495308336873e-05,14.201065741611496,VB,VB,cross,0,0.0,1,0,0,1,0,1,0,1,0,0,-1
crude,1,5,4.826813916669885e-06,17.660497360248794,NN,NN,crude,0,2.584962500721156,0,0,1,0,0,1,0,0,0,0,-1
cruel,7,5,3.378769741668919e-05,14.85314243819119,NN,NN,cruel,0,3.0,1,0,1,1,0,1,0,1,0,0,-1
crumbling,4,9,1.930725566667954e-05,15.660497360248796,VBG,VB,crumbl,0,2.584962500721156,0,0,0,0,0,1,0,1,0,0,-1
crushing,1,8,4.826813916669885e-06,17.660497360248794,VBG,VB,crush,0,2.584962500721156,1,0,1,1,0,1,0,0,0,0,-1
cry,106,3,0.000511642275167,10.932576905685597,NN,NN,cri,0,0.0,0,0,0,0,0,1,0,1,0,0,-1
crying,24,6,0.000115843534,13.07553485952764,NN,NN,cri,0,0.0,0,0,0,0,0,1,0,1,0,0,-1
cuddle,2,6,9.65362783333977e-06,16.660497360248794,NNP,NN,cuddl,0,3.169925001442312,0,0,0,0,1,0,1,0,0,1,1
curiosity,1,9,4.826813916669885e-06,17.660497360248794,NN,NN,curios,0,2.584962500721156,0,1,0,0,0,0,1,0,1,0,1
curse,2,5,9.65362783333977e-06,16.660497360248794,NN,NN,curs,0,2.584962500721156,1,0,1,1,0,1,0,1,0,0,-1
cursed,1,6,4.826813916669885e-06,17.660497360248794,VBN,VB,curs,0,2.584962500721156,1,0,0,1,0,1,0,1,0,0,-1
daft,1,4,4.826813916669885e-06,17.660497360248794,NNP,NN,daft,0,2.584962500721156,0,0,1,0,0,1,0,0,0,0,-1
damage,2,6,9.65362783333977e-06,16.660497360248794,NN,NN,damag,0,2.584962500721156,1,0,1,0,0,1,0,1,0,0,-1
damn,48,4,0.0002316870680001,12.07553485952764,NN,NN,damn,0,0.0,1,0,1,0,0,1,0,0,0,0,-1
dance,250,5,0.0012067034791674,9.694713075586709,NN,NN,danc,0,0.0,0,0,0,0,1,0,1,0,0,1,1
